time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/entropy_loss
69,35328,34,1031,947.1944444444445,680,0.2,15.945364928245544,2.2002496e-08,-1.99574395082891e-05,1627.5,8.768596649169922,0.0,7.152557373046875e-07,1e-06,-1.9458810627460479
70,35840,34,1045,940.1315789473684,690,0.2,2975.4212158203127,0.0,-4.867196548730135e-06,1622.657894736842,1253.7735595703125,0.0,2.086162567138672e-06,1e-06,-1.9458798050880433
71,36352,34,1058,940.1315789473684,700,0.2,6364.892547607422,0.0,-4.2963074520230293e-07,1622.657894736842,2471.1787109375,0.0,-1.430511474609375e-06,1e-06,-1.9458796426653862
72,36864,34,1071,940.8717948717949,710,0.2,246.41759624481202,8.789357e-08,-1.818253076635301e-05,1620.6666666666667,173.09219360351562,0.0,2.0802021026611328e-05,1e-06,-1.945878453552723
73,37376,34,1085,940.8717948717949,720,0.2,5752.326275634766,0.0,-3.918958827853203e-06,1620.6666666666667,2410.812255859375,0.0,1.4901161193847656e-06,1e-06,-1.9458764001727105
74,37888,34,1100,940.8717948717949,730,0.2,326.12160024642947,2.5925692e-07,-3.15588666126132e-05,1620.6666666666667,168.34197998046875,0.0,2.0563602447509766e-05,1e-06,-1.9458745837211608
75,38400,34,1116,940.8717948717949,740,0.2,37.75649852752686,3.0267984e-09,-8.60515283420682e-06,1620.6666666666667,33.039886474609375,0.0,9.5367431640625e-07,1e-06,-1.9458709582686424
76,38912,34,1132,940.8717948717949,750,0.2,276.17640445232394,6.449409e-08,-1.9618647638708352e-05,1620.6666666666667,35.607521057128906,0.0,-6.794929504394531e-06,1e-06,-1.9458701089024544
77,39424,34,1148,984.825,760,0.2,2085.93483581543,0.0,-5.492358468472957e-07,1642.425,816.025390625,0.0,5.066394805908203e-06,1e-06,-1.945869517326355
78,39936,34,1164,984.825,770,0.2,1966.8243072509765,0.0,-3.1334056984633207e-06,1642.425,544.9801025390625,0.0,6.9141387939453125e-06,1e-06,-1.9458694532513618
79,40448,34,1181,984.825,780,0.2,1771.1085494995118,0.0,-7.577298674732447e-07,1642.425,711.7999267578125,0.0,6.794929504394531e-06,1e-06,-1.9458694159984589
80,40960,34,1195,984.825,790,0.2,3799.59841003418,0.0,-5.368608981370926e-07,1642.425,1506.810791015625,0.0,5.960464477539062e-07,1e-06,-1.9458693265914917
81,41472,34,1209,984.825,800,0.2,30.189732253551483,3.585592e-08,-1.999374362640083e-05,1642.425,11.735878944396973,0.0,2.199411392211914e-05,1e-06,-1.9458685651421548
82,41984,34,1222,1015.609756097561,810,0.2,27.475519728660583,1.3271347e-08,-1.0887670214287937e-05,1656.9268292682927,12.134561538696289,0.0,9.5367431640625e-07,1e-06,-1.9458670660853385
83,42496,34,1235,1015.609756097561,820,0.2,2269.3515602111815,0.0,-3.9832026232033965e-06,1656.9268292682927,774.755615234375,0.0,4.5299530029296875e-06,1e-06,-1.9458658710122108
84,43008,34,1251,1015.609756097561,830,0.2,310.383206653595,1.7147977e-07,-5.149644566699862e-05,1656.9268292682927,140.47470092773438,0.0,-8.344650268554688e-06,1e-06,-1.9458650916814804
85,43520,34,1264,1015.609756097561,840,0.2,19.96864401102066,5.47152e-09,-4.203111166134476e-06,1656.9268292682927,10.038089752197266,0.0,5.364418029785156e-07,1e-06,-1.9458638265728951
86,44032,34,1277,1023.7209302325581,850,0.2,2795.903337097168,0.0,-1.9470346160233022e-06,1661.6046511627908,1418.4954833984375,0.0,3.039836883544922e-06,1e-06,-1.9458629474043847
87,44544,34,1291,1023.7209302325581,860,0.2,5703.787469482422,0.0,-1.2580130714923143e-06,1661.6046511627908,3400.21630859375,0.0,8.940696716308594e-07,1e-06,-1.9458628937602043
88,45056,34,1304,1023.7209302325581,870,0.2,3913.8365325927734,0.0,-9.531504474580288e-07,1661.6046511627908,1831.5809326171875,0.0,6.496906280517578e-06,1e-06,-1.9458628311753272
89,45568,34,1317,1023.7209302325581,880,0.2,33.49437940120697,2.0256266e-08,-1.5425196033902465e-05,1661.6046511627908,14.714077949523926,0.0,3.5762786865234375e-07,1e-06,-1.9458621338009834
